variable,grupo,shap_abs_medio_test,shap_medio_test,proporcion_test,rango_test,shap_abs_medio_val,shap_medio_val,proporcion_val,rango_val,shap_abs_medio_train,proporcion_train,rango_train,ganancia_media_3s,proporcion_ganancia,rango_ganancia,ganancia_s1,splits_s1,rango_splits_s1,dif_rango_ganancia_menos_shap_test
d1_is_weekend,Calendario y hora,0.299677,0.004529,0.002497,57,0.328526,0.002692,0.003171,52,0.267349,0.002482,51,2074613.759359,0.000548,69,2135005.077637,37,109,12
hydro_dispatch_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.287016,-0.083978,0.002391,58,0.159385,0.036856,0.001538,75,0.191392,0.001777,68,2573094.990967,0.00068,51,2643061.210114,439,50,-7
d1_dow_sin,Calendario y hora,0.279258,-0.004532,0.002327,59,0.260152,-0.002322,0.002511,60,0.214374,0.00199,62,3520917.174581,0.00093,38,2843286.083557,277,78,-21
d1_doy_sin,Calendario y hora,0.27097,-0.094732,0.002258,60,0.33839,-0.092054,0.003266,50,0.288934,0.002682,46,6969945.718506,0.001841,19,6661182.577271,832,10,-41
hydro_dispatch_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.256986,-0.136723,0.002141,61,0.171208,-0.05645,0.001653,73,0.091504,0.000849,93,1302155.565572,0.000344,81,1163927.341614,352,64,20
d2m_meteo,Meteorología prevista,0.249524,-0.043,0.002079,62,0.243979,-0.06785,0.002355,62,0.443757,0.004119,28,4903692.50945,0.001295,28,4888489.644379,539,30,-34
d1_is_festivo,Calendario y hora,0.242766,0.049468,0.002023,63,0.254027,0.021033,0.002452,61,0.224853,0.002087,60,2123819.737122,0.000561,67,2082294.37561,149,99,4
other_renewable_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.234281,-0.229394,0.001952,64,0.178301,-0.168959,0.001721,70,0.137612,0.001277,81,2279796.697367,0.000602,58,2187002.972778,256,80,-6
bil_direct_consumer_mw_D,Programas PDBC/PBF de D,0.231394,0.079097,0.001928,65,0.401363,-0.195667,0.003874,39,0.117717,0.001093,84,1934024.290985,0.000511,73,1900322.421448,391,60,8
pbfli_demand_direct_mw_D,Programas PDBC/PBF de D,0.224162,-0.009906,0.001868,66,0.215929,-0.091,0.002084,63,0.234447,0.002176,58,2729133.879639,0.000721,49,2970805.417847,573,23,-17
other_renewable_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.217136,0.163232,0.001809,67,0.187193,0.047059,0.001807,69,0.168732,0.001566,75,1172634.282104,0.00031,83,1043050.970764,316,68,16
ree_netflow_ma_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.215651,0.155123,0.001797,68,0.196721,0.113558,0.001899,67,0.223383,0.002074,61,1123487.792704,0.000297,85,1051590.309692,298,73,17
pumping_cons_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.214732,-0.065994,0.001789,69,0.15444,-0.070288,0.001491,77,0.144819,0.001344,80,1962907.638875,0.000518,71,1545011.635071,222,89,2
spread_es_de_D,Precios europeos D y diferenciales,0.204315,0.129018,0.001702,70,0.177431,0.097518,0.001713,71,0.200705,0.001863,65,2202816.367767,0.000582,62,2134266.05426,453,46,-8
pumping_cons_mw_Dm1,"Generación, demanda y flujos reales D-1/D-6",0.193103,-0.027468,0.001609,71,0.160181,-0.016086,0.001546,74,0.132553,0.00123,83,653608.967692,0.000173,100,528824.731384,218,90,29
pdbc_unavailable_power_mw_D,Programas PDBC/PBF de D,0.191744,0.157622,0.001597,72,0.198835,0.159058,0.001919,66,0.350663,0.003255,40,5620871.667704,0.001485,25,5791640.831238,654,14,-47
capdisp_pump_mw,Capacidades (disponible e instalada),0.185573,0.084146,0.001546,73,0.206181,0.079867,0.00199,64,0.251819,0.002338,54,2710236.935089,0.000716,50,3087907.516205,504,40,-23
pbfli_total_net_flow_mw_D,Programas PDBC/PBF de D,0.182565,0.114329,0.001521,74,0.129504,0.078879,0.00125,82,0.099393,0.000923,90,1582754.800863,0.000418,78,1526675.724487,246,85,4
entsoe_load_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.181827,0.152509,0.001515,75,0.138447,0.118275,0.001336,80,0.133837,0.001242,82,1533970.196676,0.000405,79,1609319.912659,303,72,4
pdbc_other_renew_mw_D,Programas PDBC/PBF de D,0.176471,-0.070309,0.00147,76,0.192629,-0.103272,0.001859,68,0.213079,0.001978,63,3070767.179993,0.000811,42,2760016.204407,523,36,-34
pdbc_biomass_mw_D,Programas PDBC/PBF de D,0.171819,0.011533,0.001431,77,0.172717,-0.034964,0.001667,72,0.247198,0.002295,57,2751331.201619,0.000727,48,2612208.577637,534,33,-29
pdbc_solar_thermal_mw_D,Programas PDBC/PBF de D,0.162624,-0.155564,0.001355,78,0.13188,-0.11312,0.001273,81,0.208248,0.001933,64,1062978.77297,0.000281,86,1111044.878845,324,67,8
ree_gccgas_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.157712,0.008613,0.001314,79,0.15237,0.025604,0.001471,78,0.247831,0.002301,55,6666848.349976,0.001761,20,7510515.947418,570,24,-59
total_net_flow_mw_Dm6,"Generación, demanda y flujos reales D-1/D-6",0.156549,0.017296,0.001304,80,0.144813,0.019315,0.001398,79,0.173207,0.001608,73,1136742.49941,0.0003,84,1003512.524414,312,71,4
bil_retail_free_sales_mw_D,Programas PDBC/PBF de D,0.155104,-0.08168,0.001292,81,0.271455,0.105205,0.00262,58,0.36301,0.00337,38,2371660.071533,0.000626,55,2287086.634338,451,48,-26
spread_es_pt_D,Precios europeos D y diferenciales,0.150266,-0.063378,0.001252,82,0.159001,-0.076832,0.001535,76,0.096225,0.000893,91,415553.635498,0.00011,107,440460.259399,112,102,25
