corte,bloque,grupo,metrica,valor
test,spread_pico,top10_cambio,captura_ensemble_%,92.6794
test,spread_pico,top10_cambio,captura_persistencia_%,87.8360
test,spread_pico,top10_cambio,pico1h_ensemble_%,81.8182
test,spread_pico,top10_cambio,pico1h_persistencia_%,77.2727
test,spread_pico,top10_cambio,MAE_ensemble,18.3660
test,spread_pico,top10_cambio,MAE_persistencia,36.5874
test,spread_pico,top10_cambio,dias_ensemble_peor_%,0.0000
val->test,amplificacion,ensemble_seleccion,a_ajustado_val,1.1377
val->test,amplificacion,ensemble_seleccion,"a_oraculo_test (solo referencia, no aplicable)",1.0527
val->test,amplificacion,ensemble_seleccion,MAE_val_antes,11.7319
val->test,amplificacion,ensemble_seleccion,MAE_val_despues,11.6371
val->test,amplificacion,ensemble_seleccion,MAE_test_antes,11.7237
val->test,amplificacion,ensemble_seleccion,MAE_test_despues,11.9669
val->test,amplificacion,ensemble_seleccion,RMSE_test_antes,15.8884
val->test,amplificacion,ensemble_seleccion,RMSE_test_despues,15.9392
test,dia_ilustrativo,2026-03-23,cambio_medio_dia,25.2375
test,dia_ilustrativo,2026-03-23,MAE_ensemble_dia,12.8046
test,dia_ilustrativo,2026-03-23,MAE_persistencia_dia,25.2375
test,dia_ilustrativo,2026-03-23,cociente_dia,0.5074
test,dia_ilustrativo,2026-03-23,cociente_mediano_Q4,0.5074
test,dia_ilustrativo,2026-03-23,MAE_ensemble_mediano_Q4,15.4788
test,dia_ilustrativo,2026-03-23,percentil_MAE_ensemble_dia_en_Q4,35.8491
test,dia_ilustrativo,2026-03-23,n_dias_Q4,53.0000
