variable,nulos_antes,cero_convencion,cero_sin_serie,cero_no_existia,ffill,interpolado,analogo_7d,hora_saltada_lag,sin_reconstruir,cero_hora_inexistente,via_principal,celdas,bloque
es_esios_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,precio: referencia de persistencia
ree_netflow_ma_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
gen_peninsular_mw_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,demanda e intercambios: agregado
ree_netflow_pt_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
es_esios_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,precio: referencia de persistencia
total_net_flow_mw_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,demanda e intercambios: agregado
total_net_flow_mw_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,demanda e intercambios: agregado
ree_gcoal_mw_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,estado real de días anteriores
entsoe_load_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
ree_netflow_fr_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
ree_netflow_pt_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
ree_netflow_ma_Dm6,7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,hora_saltada_lag,7.0,estado real de días anteriores
t2m_mean_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
msl_mean_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
ssrd_mean_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
tcc_mean_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
wind_gust10_mean_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
tp_acum_7d_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
tp_acum_30d_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
wind_gust10_mean_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
tcc_mean_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
ssrd_mean_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
tp_acum_7d_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
tp_acum_30d_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
t2m_mean_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
d2m_mean_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
msl_mean_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
wind10_mean_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
wind100_mean_met_Dm2,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
pdbc_pumping_cons_mw_D,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,programas de casación
d2m_mean_met_Dm1,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,analogo_7d,7.0,meteorología: reanálisis desfasado
